account,customer_id,name,status,type,category,primary_for_goal,include_in_conversions_metric,counting_type,quality,confidence,conversions,all_conversions,date_range,note
US,4967151855,VC_US_Phone_Click_Website,ENABLED,CLICK_TO_CALL,PHONE_CALL_LEAD,True,False,ONE_PER_CLICK,phone click or other micro-conversion,duplicate-non-lead,0,2.0,2024-08-01 to 2026-08-12,Tap ≠ 60s consult. Not a qualified lead.
US,4967151855,VC_US_Thank_You,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM,True,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,0,0,2024-08-01 to 2026-08-12,Current .app thank-you. GA4 thank-you hits in this window are internal testing — not employer leads.
US,4967151855,virtualcoworker.com - GA4 (web) click,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT,True,False,MANY_PER_CLICK,page view or engagement signal,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Button/page click import.
US,4967151855,virtualcoworker.com - GA4 (web) form_submit,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM,False,False,MANY_PER_CLICK,form submission of uncertain quality,uncertain,0,0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
US,4967151855,virtualcoworker.com - GA4 (web) gtm_submit_button_click,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT,True,False,MANY_PER_CLICK,page view or engagement signal,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Button/page click import.
US,4967151855,virtualcoworker.com - GA4 (web) page_view,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW,True,False,MANY_PER_CLICK,page view or engagement signal,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Not an employer lead.
US,4967151855,virtualcoworker.com - GA4 (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE,True,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
US,4967151855,virtualcoworker.com - GA4 (web) x_form,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM,False,False,MANY_PER_CLICK,unverifiable,uncertain,0,0,2024-08-01 to 2026-08-12,Name/type not enough to trust.
US,4967151855,Zoho Discovery Scheduled US [Original] via Zapier,ENABLED,UPLOAD_CLICKS,BOOK_APPOINTMENT,False,False,ONE_PER_CLICK,form submission of uncertain quality,probable employer,33.0,317.0,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened.
US,4967151855,Zoho Discovery Scheduled US [Standard OCI],ENABLED,UPLOAD_CLICKS,BOOK_APPOINTMENT,False,False,MANY_PER_CLICK,form submission of uncertain quality,probable employer,1.0,109.0,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened.
US,4967151855,Zoho JO Submitted US [Original] via Zapier,ENABLED,UPLOAD_CLICKS,CONVERTED_LEAD,False,False,ONE_PER_CLICK,likely qualified employer lead,uncertain,67.0,125.0,2024-08-01 to 2026-08-12,Closest CRM-shaped signal. Zoho inventory is incomplete — cannot confirm these are real employer job orders. Zapier and Standard OCI duplicates exist.
US,4967151855,Zoho JO Submitted US [Standard OCI],ENABLED,UPLOAD_CLICKS,CONVERTED_LEAD,False,False,MANY_PER_CLICK,likely qualified employer lead,uncertain,23.0,85.0,2024-08-01 to 2026-08-12,Closest CRM-shaped signal. Zoho inventory is incomplete — cannot confirm these are real employer job orders. Zapier and Standard OCI duplicates exist.
US,4967151855,virtualcoworker.com - GA4 (web) contact_us___thank_you_page,NOT_IN_CURRENT_INVENTORY,,SUBMIT_LEAD_FORM,,,,form submission of uncertain quality,uncertain,788.0,837.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof. Action missing from current inventory (removed or renamed).
US,4967151855,LK - Scheduled Calendly Call,NOT_IN_CURRENT_INVENTORY,,BOOK_APPOINTMENT,,,,form submission of uncertain quality,probable employer,373.0,457.0,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened. Action missing from current inventory (removed or renamed).
US,4967151855,Follow up Next Steps - Offline Conversion,NOT_IN_CURRENT_INVENTORY,,QUALIFIED_LEAD,,,,duplicate or overlapping tracking,uncertain,17.0,284.0,2024-08-01 to 2026-08-12,Offline/Zapier/OCI. Often overlaps a twin action. Action missing from current inventory (removed or renamed).
US,4967151855,Calls from Ads*,NOT_IN_CURRENT_INVENTORY,,PHONE_CALL_LEAD,,,,qualified-duration phone call,uncertain,241.0,271.0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker. Action missing from current inventory (removed or renamed).
US,4967151855,Job Description Submitted - Offline Conversion,NOT_IN_CURRENT_INVENTORY,,CONVERTED_LEAD,,,,duplicate or overlapping tracking,uncertain,3.0,129.0,2024-08-01 to 2026-08-12,Offline/Zapier/OCI. Often overlaps a twin action. Action missing from current inventory (removed or renamed).
US,4967151855,"Clicks ""I am searching for a job""",NOT_IN_CURRENT_INVENTORY,,PAGE_VIEW,,,,job-seeker activity,confirmed job seeker,0,54.0,2024-08-01 to 2026-08-12,Job-seeker click was counted as a conversion. Action missing from current inventory (removed or renamed).
US,4967151855,No response Step - Offline Conversion,NOT_IN_CURRENT_INVENTORY,,DEFAULT,,,,duplicate or overlapping tracking,uncertain,0,31.0,2024-08-01 to 2026-08-12,Offline/Zapier/OCI. Often overlaps a twin action. Action missing from current inventory (removed or renamed).
US,4967151855,virtualcoworker.com - GA4 (web) phone_call_clicks,NOT_IN_CURRENT_INVENTORY,,CONTACT,,,,phone click or other micro-conversion,duplicate-non-lead,0,29.0,2024-08-01 to 2026-08-12,Tap ≠ 60s consult. Not a qualified lead. Action missing from current inventory (removed or renamed).
US,4967151855,Recruiting Step - Offline Conversion,NOT_IN_CURRENT_INVENTORY,,QUALIFIED_LEAD,,,,duplicate or overlapping tracking,uncertain,1.5,9.0,2024-08-01 to 2026-08-12,Offline/Zapier/OCI. Often overlaps a twin action. Action missing from current inventory (removed or renamed).
US,4967151855,Phone Calls - Website,NOT_IN_CURRENT_INVENTORY,,PHONE_CALL_LEAD,,,,qualified-duration phone call,uncertain,6.0,6.0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker. Action missing from current inventory (removed or renamed).
US,4967151855,Website Phone Calls - AU - Oct 20 2023,NOT_IN_CURRENT_INVENTORY,,PHONE_CALL_LEAD,,,,qualified-duration phone call,uncertain,0,3.0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker. Action missing from current inventory (removed or renamed).
US,4967151855,Website Phone Calls - USA - Oct 20 2023,NOT_IN_CURRENT_INVENTORY,,PHONE_CALL_LEAD,,,,qualified-duration phone call,uncertain,3.0,3.0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker. Action missing from current inventory (removed or renamed).
AU,5735391940,Chat (All Web Site Data),HIDDEN,UNIVERSAL_ANALYTICS_GOAL,CONTACT,True,True,MANY_PER_CLICK,obsolete legacy conversion,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Old UA goal. Do not use for bidding.
AU,5735391940,Contact Us Form Submitted [Original],ENABLED,WEBPAGE,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,56.0,183.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
AU,5735391940,Custom LP Form Submission [GA4],ENABLED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM,False,False,MANY_PER_CLICK,form submission of uncertain quality,uncertain,0,23.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
AU,5735391940,Custom LP Meeting Scheduled [GA4],ENABLED,GOOGLE_ANALYTICS_4_CUSTOM,BOOK_APPOINTMENT,False,False,MANY_PER_CLICK,form submission of uncertain quality,probable employer,0,7.97,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened.
AU,5735391940,Free Consultation Form Submitted [Original],ENABLED,WEBPAGE,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,944.0,1154.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
AU,5735391940,Free Consultation Form Submitted [Original][GA4],ENABLED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,231.66,1155.51,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
AU,5735391940,Job order form filled out (All Web Site Data),HIDDEN,UNIVERSAL_ANALYTICS_GOAL,DEFAULT,True,True,MANY_PER_CLICK,likely qualified employer lead,uncertain,0,0,2024-08-01 to 2026-08-12,Closest CRM-shaped signal. Zoho inventory is incomplete — cannot confirm these are real employer job orders. Zapier and Standard OCI duplicates exist.
AU,5735391940,Lead form - Submit,ENABLED,LEAD_FORM_SUBMIT,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,0,0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
AU,5735391940,Lead Form Submit Completion (All Web Site Data),HIDDEN,UNIVERSAL_ANALYTICS_GOAL,SUBMIT_LEAD_FORM,True,True,MANY_PER_CLICK,obsolete legacy conversion,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Old UA goal. Do not use for bidding.
AU,5735391940,Submission (All Web Site Data),HIDDEN,UNIVERSAL_ANALYTICS_GOAL,SUBMIT_LEAD_FORM,True,True,MANY_PER_CLICK,obsolete legacy conversion,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Old UA goal. Do not use for bidding.
AU,5735391940,Submission (All Web Site Data),HIDDEN,UNIVERSAL_ANALYTICS_GOAL,SUBMIT_LEAD_FORM,True,True,MANY_PER_CLICK,obsolete legacy conversion,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Old UA goal. Do not use for bidding.
AU,5735391940,Transactions (Main - virtualcoworker.com.au),HIDDEN,UNIVERSAL_ANALYTICS_TRANSACTION,PURCHASE,True,True,MANY_PER_CLICK,obsolete legacy conversion,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Old UA goal. Do not use for bidding.
AU,5735391940,VC US — virtualcoworker.app (web) close_convert_lead,HIDDEN,GOOGLE_ANALYTICS_4_CLOSE_CONVERT_LEAD,CONVERTED_LEAD,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,VC US — virtualcoworker.app (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,VC US — virtualcoworker.app (web) qualify_lead,HIDDEN,GOOGLE_ANALYTICS_4_QUALIFY_LEAD,QUALIFIED_LEAD,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,VC_AU_Phone_Click_Website,ENABLED,GOOGLE_ANALYTICS_4_CUSTOM,PHONE_CALL_LEAD,True,False,ONE_PER_CLICK,phone click or other micro-conversion,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Tap ≠ 60s consult. Not a qualified lead.
AU,5735391940,Virtual Coworker AU (web) close_convert_lead,HIDDEN,GOOGLE_ANALYTICS_4_CLOSE_CONVERT_LEAD,CONVERTED_LEAD,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,Virtual Coworker AU (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,Virtual Coworker AU (web) qualify_lead,HIDDEN,GOOGLE_ANALYTICS_4_QUALIFY_LEAD,QUALIFIED_LEAD,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,virtualcoworker.com.au - GA4 (web) gtm_submit_button_clicks,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT,True,False,MANY_PER_CLICK,page view or engagement signal,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Button/page click import.
AU,5735391940,virtualcoworker.com.au - GA4 (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE,True,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
AU,5735391940,Zoho Discovery Scheduled AU [Original] via Zapier,ENABLED,UPLOAD_CLICKS,BOOK_APPOINTMENT,False,False,ONE_PER_CLICK,form submission of uncertain quality,probable employer,48.0,231.0,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened.
AU,5735391940,Zoho Discovery Scheduled AU [Standard OCI],ENABLED,UPLOAD_CLICKS,BOOK_APPOINTMENT,False,False,MANY_PER_CLICK,form submission of uncertain quality,probable employer,3.0,19.0,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened.
AU,5735391940,Zoho JO Submitted AU [Original] via Zapier,ENABLED,UPLOAD_CLICKS,CONVERTED_LEAD,False,False,ONE_PER_CLICK,likely qualified employer lead,uncertain,36.0,69.0,2024-08-01 to 2026-08-12,Closest CRM-shaped signal. Zoho inventory is incomplete — cannot confirm these are real employer job orders. Zapier and Standard OCI duplicates exist.
AU,5735391940,Zoho JO Submitted AU [Standard OCI],ENABLED,UPLOAD_CLICKS,CONVERTED_LEAD,False,False,MANY_PER_CLICK,likely qualified employer lead,uncertain,14.0,51.0,2024-08-01 to 2026-08-12,Closest CRM-shaped signal. Zoho inventory is incomplete — cannot confirm these are real employer job orders. Zapier and Standard OCI duplicates exist.
AU,5735391940,Chat Opened - Oct 20 2023,NOT_IN_CURRENT_INVENTORY,,DEFAULT,,,,page view or engagement signal,duplicate-non-lead,0,184.0,2024-08-01 to 2026-08-12,"Chat widget engagement, not a lead. Action missing from current inventory (removed or renamed)."
AU,5735391940,Chat Started- Oct 20 2023,NOT_IN_CURRENT_INVENTORY,,DEFAULT,,,,page view or engagement signal,duplicate-non-lead,0,164.0,2024-08-01 to 2026-08-12,"Chat widget engagement, not a lead. Action missing from current inventory (removed or renamed)."
AU,5735391940,Call Booked,NOT_IN_CURRENT_INVENTORY,,QUALIFIED_LEAD,,,,form submission of uncertain quality,probable employer,1.0,127.0,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened. Action missing from current inventory (removed or renamed).
AU,5735391940,Website # Phone Call*,NOT_IN_CURRENT_INVENTORY,,PHONE_CALL_LEAD,,,,qualified-duration phone call,uncertain,70.0,71.0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker. Action missing from current inventory (removed or renamed).
AU,5735391940,Converted Job Orders (Recruiting),NOT_IN_CURRENT_INVENTORY,,CONVERTED_LEAD,,,,likely qualified employer lead,uncertain,1.0,56.0,2024-08-01 to 2026-08-12,Closest CRM-shaped signal. Zoho inventory is incomplete — cannot confirm these are real employer job orders. Zapier and Standard OCI duplicates exist. Action missing from current inventory (removed or renamed).
AU,5735391940,Website Phone Calls - AU - Oct 20 2023,NOT_IN_CURRENT_INVENTORY,,PHONE_CALL_LEAD,,,,qualified-duration phone call,uncertain,5.0,5.0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker. Action missing from current inventory (removed or renamed).
AU,5735391940,Chat Started - Offline - Oct 20 2023,NOT_IN_CURRENT_INVENTORY,,DEFAULT,,,,page view or engagement signal,duplicate-non-lead,0,4.0,2024-08-01 to 2026-08-12,"Chat widget engagement, not a lead. Action missing from current inventory (removed or renamed)."
AU,5735391940,virtualcoworker.com.au - GA4 (web) phone_call_clicks,NOT_IN_CURRENT_INVENTORY,,CONTACT,,,,phone click or other micro-conversion,duplicate-non-lead,3.0,3.0,2024-08-01 to 2026-08-12,Tap ≠ 60s consult. Not a qualified lead. Action missing from current inventory (removed or renamed).
