Account,Row Type,Campaign,Campaign Status,Budget,Bid Strategy Type,Ad Group,Ad Group Status,Keyword,Criterion Type,Keyword Status,Negative,Comment
496-715-1855,Keyword,VC_US_S_ROLES,,,,HR_Recruiting,,hire recruiting assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,HR_Recruiting,,hire recruiting assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Ecommerce_Shopify,,remote ecommerce assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Ecommerce_Shopify,,remote ecommerce assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Ecommerce_Shopify,,ecommerce virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Ecommerce_Shopify,,ecommerce virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Ecommerce_Shopify,,shopify virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Ecommerce_Shopify,,shopify virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Sales_Support_CRM,,hire sales virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Sales_Support_CRM,,hire sales virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Sales_Support_CRM,,sales administrative assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Sales_Support_CRM,,sales administrative assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Sales_Support_CRM,,crm virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Sales_Support_CRM,,crm virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
